Date,zone,centre,Price
06-01-93,1,DELHI,360.0
13-01-93,1,DELHI,365.0
20-01-93,1,DELHI,307.0
27-01-93,1,DELHI,360.0
03-02-93,1,DELHI,350.0
10-02-93,1,DELHI,350.0
17-02-93,1,DELHI,340.0
24-02-93,1,DELHI,350.0
03-03-93,1,DELHI,350.0
10-03-93,1,DELHI,355.0
17-03-93,1,DELHI,355.0
24-03-93,1,DELHI,355.0
31-03-93,1,DELHI,350.0
07-04-93,1,DELHI,350.0
14-04-93,1,DELHI,350.0
21-04-93,1,DELHI,350.0
28-04-93,1,DELHI,350.0
05-05-93,1,DELHI,340.0
12-05-93,1,DELHI,340.0
19-05-93,1,DELHI,345.0
26-05-93,1,DELHI,345.0
02-06-93,1,DELHI,355.0
09-06-93,1,DELHI,375.0
16-06-93,1,DELHI,360.0
23-06-93,1,DELHI,365.0
30-06-93,1,DELHI,360.0
07-07-93,1,DELHI,360.0
14-07-93,1,DELHI,360.0
21-07-93,1,DELHI,365.0
28-07-93,1,DELHI,375.0
04-08-93,1,DELHI,380.0
11-08-93,1,DELHI,375.0
18-08-93,1,DELHI,370.0
25-08-93,1,DELHI,390.0
01-09-93,1,DELHI,395.0
08-09-93,1,DELHI,390.0
15-09-93,1,DELHI,405.0
22-09-93,1,DELHI,405.0
29-09-93,1,DELHI,410.0
06-10-93,1,DELHI,395.0
13-10-93,1,DELHI,405.0
20-10-93,1,DELHI,405.0
27-10-93,1,DELHI,400.0
03-11-93,1,DELHI,400.0
10-11-93,1,DELHI,405.0
17-11-93,1,DELHI,400.0
24-11-93,1,DELHI,400.0
01-12-93,1,DELHI,405.0
08-12-93,1,DELHI,400.0
15-12-93,1,DELHI,400.0
22-12-93,1,DELHI,395.0
29-12-93,1,DELHI,405.0
05-01-94,1,DELHI,400.0
12-01-94,1,DELHI,400.0
19-01-94,1,DELHI,405.0
26-01-94,1,DELHI,400.0
02-02-94,1,DELHI,440.0
09-02-94,1,DELHI,440.0
16-02-94,1,DELHI,430.0
23-02-94,1,DELHI,430.0
02-03-94,1,DELHI,423.0
09-03-94,1,DELHI,426.0
16-03-94,1,DELHI,425.0
23-03-94,1,DELHI,425.0
30-03-94,1,DELHI,420.0
06-04-94,1,DELHI,400.0
13-04-94,1,DELHI,400.0
20-04-94,1,DELHI,390.0
27-04-94,1,DELHI,365.0
04-05-94,1,DELHI,373.0
11-05-94,1,DELHI,375.0
18-05-94,1,DELHI,385.0
25-05-94,1,DELHI,380.0
01-06-94,1,DELHI,382.0
08-06-94,1,DELHI,390.0
15-06-94,1,DELHI,387.0
22-06-94,1,DELHI,390.0
29-06-94,1,DELHI,396.0
06-07-94,1,DELHI,396.0
13-07-94,1,DELHI,396.0
20-07-94,1,DELHI,396.0
27-07-94,1,DELHI,398.0
03-08-94,1,DELHI,400.0
10-08-94,1,DELHI,403.0
17-08-94,1,DELHI,407.0
24-08-94,1,DELHI,400.0
31-08-94,1,DELHI,405.0
07-09-94,1,DELHI,400.0
14-09-94,1,DELHI,400.0
21-09-94,1,DELHI,405.0
28-09-94,1,DELHI,405.0
05-10-94,1,DELHI,405.0
19-10-94,1,DELHI,415.0
26-10-94,1,DELHI,425.0
02-11-94,1,DELHI,425.0
09-11-94,1,DELHI,425.0
16-11-94,1,DELHI,420.0
23-11-94,1,DELHI,425.0
30-11-94,1,DELHI,425.0
07-12-94,1,DELHI,420.0
21-12-94,1,DELHI,425.0
28-12-94,1,DELHI,425.0
04-01-95,1,DELHI,425.0
11-01-95,1,DELHI,422.0
18-01-95,1,DELHI,422.0
25-01-95,1,DELHI,415.0
01-02-95,1,DELHI,415.0
08-02-95,1,DELHI,415.0
15-02-95,1,DELHI,415.0
22-02-95,1,DELHI,420.0
08-03-95,1,DELHI,420.0
15-03-95,1,DELHI,420.0
22-03-95,1,DELHI,420.0
29-03-95,1,DELHI,420.0
05-04-95,1,DELHI,424.0
19-04-95,1,DELHI,395.0
26-04-95,1,DELHI,390.0
03-05-95,1,DELHI,390.0
10-05-95,1,DELHI,385.0
17-05-95,1,DELHI,385.0
24-05-95,1,DELHI,375.0
31-05-95,1,DELHI,390.0
07-06-95,1,DELHI,390.0
14-06-95,1,DELHI,405.0
21-06-95,1,DELHI,405.0
28-06-95,1,DELHI,400.0
05-07-95,1,DELHI,400.0
12-07-95,1,DELHI,410.0
19-07-95,1,DELHI,412.0
26-07-95,1,DELHI,405.0
02-08-95,1,DELHI,413.0
09-08-95,1,DELHI,415.0
16-08-95,1,DELHI,430.0
23-08-95,1,DELHI,430.0
30-08-95,1,DELHI,420.0
06-09-95,1,DELHI,418.0
13-09-95,1,DELHI,425.0
20-09-95,1,DELHI,420.0
